ClaimStatusText,CLP02Code,Description
Processed as Primary,1,Processed as Primary
Processed as Secondary,2,Processed as Secondary
Processed as Tertiary,3,Processed as Tertiary
Denied,4,Denied
Processed as Primary Forwarded,19,Processed as Primary Forwarded to Additional Payer(s)
Processed as Secondary Forwarded,20,Processed as Secondary Forwarded to Additional Payer(s)
Reversal of Previous Payment,22,Reversal of Previous Payment
Not Our Claim,23,Not Our Claim Forwarded to Additional Payer(s)
Predetermination Pricing,25,Predetermination Pricing Only — No Payment
